Data;Fix;Top;Premium M.;Premium F.;Multiprev M.;Multiprev F.;Previdence;XP Prev;Access;Synta;Capit D. Inc;Capit D. Inc F.;Aquila6;Strategy;CW1;Inflation;Index;Alfa;Harpia;Emb;Portfolio;Multi;Volks Fusca;Fcopel;São Paulo;Reit ;Reit 90
26/04/2019;64%;58%;32%;33%;310%;300%;294%;#N/D;186%;-39%;147%;125%;-20%;78%;-308%;435%;424%;554%;511%;311%;579%;576%;257%;-98%;-141%;-946%;-632%
29/04/2019;95%;89%;97%;89%;-61%;-68%;-64%;#N/D;400%;134%;622%;503%;233%;288%;460%;102%;96%;-119%;-65%;241%;15%;5%;45%;287%;35%;348%;-15%
30/04/2019;131%;125%;178%;159%;79%;71%;66%;#N/D;123%;176%;221%;185%;246%;-13%;239%;70%;64%;275%;256%;243%;8%;-3%;-36%;518%;8%;1393%;1588%
02/05/2019;521%;514%;1306%;1119%;143%;134%;131%;0%;357%;311%;178%;150%;480%;-57%;410%;19%;14%;478%;483%;242%;-17%;-27%;30%;169%;1593%;197%;1439%
03/05/2019;233%;227%;-545%;-456%;134%;125%;125%;0%;268%;290%;476%;387%;113%;8%;303%;68%;63%;453%;439%;242%;8%;-3%;-302%;565%;-1658%;-108%;95%
06/05/2019;51%;45%;11%;16%;62%;55%;50%;0%;-14%;-23%;-167%;-124%;-24%;39%;-304%;275%;268%;358%;430%;238%;15%;5%;81%;-148%;-262%;-1077%;-673%
07/05/2019;41%;35%;-8%;0%;94%;85%;94%;0%;24%;-91%;271%;224%;-258%;84%;-352%;-50%;-54%;39%;60%;242%;8%;-3%;41%;-178%;-271%;-626%;-631%
08/05/2019;201%;195%;228%;201%;184%;174%;166%;0%;249%;281%;258%;214%;413%;56%;358%;68%;63%;344%;320%;239%;8%;-3%;26%;239%;96%;-283%;-496%
09/05/2019;166%;160%;190%;169%;73%;65%;65%;98%;122%;250%;35%;37%;-26%;-62%;115%;68%;63%;303%;239%;239%;8%;-3%;30%;5%;-153%;-867%;-1204%
10/05/2019;229%;225%;236%;208%;197%;187%;178%;77%;321%;355%;324%;267%;292%;91%;400%;60%;55%;322%;247%;132%;6%;-5%;37%;294%;86%;6%;-916%
13/05/2019;139%;133%;176%;156%;102%;94%;94%;79%;125%;209%;508%;413%;-279%;-31%;-578%;94%;88%;-22%;12%;231%;13%;3%;41%;-658%;-555%;-2937%;-2119%
14/05/2019;215%;209%;211%;186%;253%;244%;235%;77%;307%;215%;306%;252%;228%;-9%;394%;182%;175%;283%;502%;874%;7%;-4%;39%;421%;48%;-132%;351%
15/05/2019;107%;101%;101%;93%;105%;97%;92%;144%;119%;71%;153%;130%;103%;545%;91%;494%;482%;149%;14%;277%;726%;724%;40%;-31%;273%;-473%;-635%
16/05/2019;-398%;-406%;-1365%;-1187%;-281%;-287%;-132%;64%;-855%;27%;141%;121%;154%;-31170%;-2028%;-24780%;-24447%;-228%;-198%;183%;-12701%;-12868%;39%;-150%;-10942%;512%;912%
17/05/2019;-19%;-25%;-37%;-46%;75%;67%;69%;104%;-55%;20%;94%;84%;23%;47%;-190%;60%;54%;-298%;-259%;181%;2%;-9%;34%;-209%;93%;58%;236%
20/05/2019;199%;193%;218%;208%;203%;193%;180%;103%;224%;214%;270%;224%;77%;-20%;190%;84%;-12068%;492%;391%;180%;4%;-6%;39%;70%;-69%;-1023%;-1427%
21/05/2019;106%;98%;149%;138%;69%;60%;69%;101%;88%;91%;68%;62%;257%;-160%;728%;58%;51%;458%;439%;175%;2%;-10%;38%;796%;300%;1731%;1897%
22/05/2019;252%;246%;296%;274%;241%;231%;205%;93%;329%;330%;274%;227%;408%;-117%;482%;58%;52%;267%;221%;175%;2%;-9%;40%;388%;137%;1412%;1393%
23/05/2019;131%;125%;150%;136%;141%;132%;119%;103%;154%;110%;122%;106%;172%;174%;239%;58%;52%;198%;195%;173%;2%;-9%;44%;250%;75%;314%;860%
